Von X,Von Y
1,3.25722322157729e-05
1.258925411794167,2.877639529123533e-05
1.584893192461114,2.543767160275142e-05
1.99526231496888,2.249936828585567e-05
2.511886431509581,1.991198777273974e-05
3.16227766016838,1.763230044684355e-05
3.981071705534974,1.562253781425365e-05
5.011872336272725,1.384969047506946e-05
6.309573444801935,1.228489723063074e-05
7.943282347242818,1.090291344667174e-05
10.00000000000001,9.681648343286506e-06
12.58925411794168,8.601762230648653e-06
15.84893192461115,7.646315881305761e-06
19.95262314968881,6.800465248652129e-06
25.11886431509582,6.051195626932084e-06
31.62277660168382,5.387090118260289e-06
39.81071705534977,4.798127941797711e-06
50.11872336272729,4.275508702534984e-06
63.0957344480194,3.81149924352403e-06
79.43282347242825,3.399300145779144e-06
100.0000000000001,3.03292932305366e-06
125.8925411794169,2.707120491770393e-06
158.4893192461116,2.417234586045759e-06
199.5262314968883,2.15918243964947e-06
251.1886431509584,1.929357275796586e-06
316.2277660168385,1.724575736147752e-06
398.107170553498,1.54202634601149e-06
501.1872336272732,1.379224456731491e-06
630.9573444801945,1.233972831413611e-06
794.3282347242831,1.104327148949616e-06
1000.000000000002,9.885657958576417e-07
1258.92541179417,8.85163397637696e-07
1584.893192461117,7.927676127489978e-07
1995.262314968884,7.101787743601967e-07
2511.886431509586,6.363320189279989e-07
3162.277660168386,5.702815874885978e-07
3981.071705534981,5.111870262289504e-07
5011.872336272734,4.583010482461347e-07
6309.573444801948,4.109588491059732e-07
7943.282347242834,3.685686954878985e-07
10000.00000000003,3.306036293805502e-07
12589.25411794171,2.965941504359322e-07
15848.93192461118,2.661217565972088e-07
19952.62314968885,2.388132383372094e-07
25118.86431509587,2.143356350811768e-07
31622.77660168388,1.923917739032327e-07
39810.71705534984,1.727163206064418e-07
50118.72336272738,1.550722820208762e-07
63095.73444801952,1.392479059525646e-07
79432.82347242841,1.250539318374205e-07
100000.0000000003,1.123211509268091e-07
125892.5411794172,1.008982398668039e-07
158489.3192461119,9.064983592684774e-08
199526.2314968887,8.145482597097213e-08
251188.6431509589,7.320482461511866e-08
316227.7660168391,6.580281994213453e-08
398107.1705534988,5.916196770472694e-08
501187.2336272742,5.320451718041608e-08
630957.3444801958,4.786085379460769e-08
794328.2347242847,4.30686453276733e-08
1000000.000000004,3.877208000194943e-08
1258925.411794172,3.49211860281257e-08
1584893.19246112,3.147122329855528e-08
1995262.314968888,2.838213886836493e-08
2511886.431509591,2.561807868218953e-08
3162277.660168393,2.314694870519926e-08
3981071.70553499,2.094001922863084e-08
5011872.336272745,1.89715666737193e-08
6309573.444801961,1.721854776293241e-08
7943282.347242852,1.56603015234375e-08
10000000.00000005,1.427827531411135e-08
12589254.11794173,1.305577200961425e-08
15848931.92461121,1.197771670751213e-08
19952623.14968889,1.103044287541474e-08
25118864.31509592,1.020149965946386e-08
31622776.60168395,9.47948393689082e-09
39810717.05534992,8.853902284734161e-09
50118723.36272748,8.315068979669885e-09
63095734.44801965,7.854046203120048e-09
79432823.47242856,7.462631954818017e-09
100000000.0000005,7.133400518736576e-09
125892541.1794174,6.859801023390154e-09
158489319.2461122,6.63632339804096e-09
199526231.4968891,6.458749470228359e-09
251188643.1509594,6.324521059390683e-09
316227766.0168397,6.233276137356434e-09
398107170.5534995,6.187623976506864e-09
501187233.6272751,6.194234992508848e-09
630957344.4801968,6.265261315162172e-09
794328234.7242861,6.419826712985448e-09
1000000000.000006,6.684347028957976e-09
1258925411.794175,7.087260020334462e-09
1584893192.461123,7.634339882895503e-09
1995262314.968892,8.231998068635285e-09
2511886431.509595,8.551134918585197e-09
3162277660.168399,8.109312358282612e-09
3981071705.534997,6.898717397971578e-09
5011872336.272755,5.474329905137529e-09
6309573444.801973,4.237975795367988e-09
7943282347.242867,3.274051415266845e-09
10000000000.00006,2.542040503752103e-09
12589254117.94176,1.985190768537227e-09
15848931924.61124,1.557792757673445e-09
19952623149.68893,1.226777101088315e-09
25118864315.09597,9.685465968393742e-10
31622776601.68401,7.660240050630143e-10
39810717055.35,6.065952051693638e-10
50118723362.72758,4.807642898956719e-10
63095734448.01977,3.812735909616194e-10
79432823472.42871,3.025134066277611e-10
100000000000.0007,2.401129508856517e-10
125892541179.4176,1.906477115395545e-10
158489319246.1125,1.514243188184419e-10
199526231496.8894,1.203189816975558e-10
251188643150.9599,9.565420994139369e-11
316227766016.8403,7.610366457718555e-11
398107170553.5002,6.061811124818674e-11
501187233627.2761,4.836743510677539e-11
630957344480.198,3.869497366263472e-11
794328234724.2875,3.108128887980222e-11
1000000000000,2.511508001013307e-11
